gid,gname,gsubname,gname2,gsubname2,gname3,gsubname3,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim
100001,MANO-D,,,,,,0,,,0,,,,,,,,,,,,
100002,23rd of September Communist League,,,,,,0,,,0,7,,,,,,,,,,,
100003,Unknown,,,,,,0,,,0,,,,,,,,,,,,
100004,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100005,Tupamaros (Uruguay),,,,,,0,,,0,3,,,,,,,,,,,
100006,Unknown,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100007,New Years Gang,,,,,,0,,,0,1,1,1,1,Letter,,,,,,,
100008,New Years Gang,,,,,,0,,,0,1,1,0,,,,,,,,,
100009,"Weather Underground, Weathermen",,,,,,0,,,0,,,,,,,,,,,,
100010,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100011,Unknown,,,,,,0,,,0,1,,,,,,,,,,,
100012,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100013,Armed Commandos of Liberation,,,,,,1,,,0,-99,-99,1,10,Unknown,,,,,,,
100014,Commune 1,,,,,,0,,,0,,,,,,,,,,,,
100015,Eritrean Liberation Front,,,,,,0,,,0,1,,,,,,,,,,,
100016,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100017,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100018,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100019,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100020,Tupamaros (Uruguay),,,,,,0,,,0,5,,,,,,,,,,,
100021,Black Nationalists,,,,,,1,,,0,3,-99,0,,,,,,,,,
100022,Student Radicals,,,,,,0,,,0,2,2,0,,,,,,,,,
100023,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100024,Armed Forces of National Liberation- Venezuela (FALN),,,,,,0,,,0,3,,,,,,,,,,,
100025,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100026,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100027,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100028,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100029,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100030,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100031,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100032,New Peoples Army (NPA),,,,,,0,,,0,,,,,,,,,,,,
100033,Left-Wing Militants,,,,,,0,,,0,1,-99,0,,,,,,,,,
100034,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100035,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100036,Black Nationalists,,,,,,0,,,0,3,-99,0,,,,,,,,,
100037,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100038,Armed Revolutionary Independence Movement (MIRA),,,,,,0,,,0,-99,-99,1,1,Letter,,,,,,,
