gid,weaponid,attackid
100001,10001,1
100002,10001,6
100003,10001,1
125364,10023,2
106322,13873,3
105914,16076,3
109238,16078,3
115978,21061,1
120468,21061,5
120991,21061,2
125375,10023,7
120996,10023,7
100422,10001,6
100064,10001,6
125377,10023,2
100015,10001,9
100597,10001,6
100759,10001,6
100188,10001,6
101865,10001,9
101865,21062,7
101865,21063,2
102137,10001,3
100011,10001,1
100655,10001,6
100024,10001,6
101144,10001,1
100418,10001,9
100003,10001,9
121172,10001,3
115978,21064,2
100003,10002,3
100032,10001,9
100287,10002,3
100003,10001,6
109778,10001,3
117181,21064,2
125378,10023,6
125378,13875,3
100418,21065,3
125379,10023,2
125384,10023,2
102391,10023,1
100551,10002,3
119981,21065,3
115982,21065,3
101861,10023,7
100011,10002,1
105711,16079,1
125389,10023,6
125391,10023,2
100011,10001,6
105331,10002,3
120695,10002,3
100068,10001,6
104069,10002,3
101414,10002,3
107596,13876,3
100498,10001,6
115978,10001,2
100079,10001,6
125392,10023,2
125393,10023,6
121412,21065,3
100184,10002,3
115914,21065,3
125394,10023,6
118871,21065,1
105659,10002,3
100655,10002,3
100459,10002,3
100096,10001,6
100097,10001,6
100185,10002,1
130980,21065,3
100099,10001,6
125397,10023,6
100469,10001,1
101144,10002,3
100072,10001,6
102669,10002,3
115963,21065,3
100106,10001,6
101144,10001,3
100165,10001,6
100287,10005,1
100719,10005,1
100044,10001,6
100287,10001,9
100003,10005,1
100003,10005,2
101144,10001,9
101334,10005,2
124212,10005,3
125398,10023,2
117029,21066,7
100418,21067,3
117032,21068,3
101919,10005,2
101624,10005,2
101877,10005,2
101514,10005,2
100655,10005,1
125400,10023,6
117032,21069,3
100459,10001,6
100742,10005,5
101818,10005,2
102054,10005,2
100621,10005,2
101763,10005,1
117486,10023,2
125408,10023,6
100418,21069,3
105711,13877,3
100689,10001,6
102192,10005,2
100209,10001,6
105711,16080,1
100209,10001,4
100742,10005,2
107602,13877,3
100268,10005,2
100372,10001,6
105805,13877,3
125409,10023,1
125415,10023,2
101490,10005,2
108697,13877,3
105711,16081,3
101844,10005,2
117540,21069,3
100719,10005,2
100123,10005,2
101514,10005,5
102265,10005,2
100003,10005,5
101144,10005,2
100173,10001,6
101744,10005,2
105711,16083,3
125416,10023,2
125417,10023,1
110404,16084,3
114333,16084,3
100044,10001,1
100020,10001,9
116105,10023,6
100188,10001,4
125419,10023,2
125420,10023,6
100205,10001,6
125425,10023,2
100208,10001,6
101763,10005,2
104441,10002,3
108882,13877,3
105711,13878,2
101270,10005,7
101044,10005,2
101044,10005,5
125437,10023,2
125440,10023,2
101702,10005,2
107597,13879,2
121599,10023,2
107599,13880,2
100469,10005,2
101270,10005,2
125442,10023,6
125444,10023,2
125445,10023,2
125450,10023,6
